model,split_policy,group_type,group,n,ade_meters,fde_meters,rmse_meters,mae_meters
gru_baseline,temporal_test,turn_bin,turn_45_180,2891,23126.793729696194,23431.962469571852,16472.904385493366,13685.321224595675
gru_baseline,temporal_test,turn_bin,turn_5_15,5672,24134.224560288574,24245.632551727893,17251.77816365236,14198.551601273879
kalman_filter_cv,temporal_test,region,east_gulf_coast,22583,1631.41417093781,2542.6358257974507,1384.5475712929172,1022.6516920751908
kalman_filter_cv,temporal_test,region,hawaii_pacific,213,2010.8804100812076,2631.342056268239,1603.0300875167084,1322.0538440488
kalman_filter_cv,temporal_test,region,other,550,4584.14441678755,6964.842953054601,3915.2147912446485,2808.0027341410814
kalman_filter_cv,temporal_test,region,west_coast,4604,2040.1968996716303,2992.615058604942,1698.0448757159816,1271.7393916760639
kalman_filter_cv,temporal_test,speed_bin,sog_0_2,20601,803.3930440974258,1296.427801227421,699.4026681800003,499.90354770865196
kalman_filter_cv,temporal_test,speed_bin,sog_15_50,372,8188.796685404824,12986.165087645526,6967.2115993772595,5078.580023976681
kalman_filter_cv,temporal_test,speed_bin,sog_2_8,4772,2393.143164966128,3580.3158686644324,1964.5871227576263,1501.2572225520541
kalman_filter_cv,temporal_test,speed_bin,sog_8_15,2205,8239.400477694864,12229.32163038968,6895.529760628581,5180.900713236713
kalman_filter_cv,temporal_test,turn_bin,turn_0_5,12831,2026.25924373135,2946.1763338095902,1693.1066555255861,1269.0283012822952
kalman_filter_cv,temporal_test,turn_bin,turn_15_45,6556,923.8835510192731,1514.7960000353,832.9564501812413,579.4341793678841
kalman_filter_cv,temporal_test,turn_bin,turn_45_180,2891,498.2530606763482,751.9222539189906,405.44069404278594,308.88049688168377
kalman_filter_cv,temporal_test,turn_bin,turn_5_15,5672,2765.9603649052497,4527.906508205936,2331.207144431459,1727.959126198289
linear_lstsq,temporal_test,region,east_gulf_coast,22583,2865.2566022615247,4670.645856139031,2395.923129638942,1793.154926476377
linear_lstsq,temporal_test,region,hawaii_pacific,213,4169.995578397539,6113.732472751023,3418.3522161782585,2678.5179051820883
linear_lstsq,temporal_test,region,other,550,6547.804023848227,9783.07239587266,5551.374007937613,4007.1296421625057
linear_lstsq,temporal_test,region,west_coast,4604,3500.456992664554,5438.086136813777,2905.682278399151,2198.6891728980872
linear_lstsq,temporal_test,speed_bin,sog_0_2,20601,2021.0151365532104,3653.0739465642246,1693.3055535049211,1261.7463494536482
linear_lstsq,temporal_test,speed_bin,sog_15_50,372,10309.602926039339,14657.013188965335,8705.710179471,6388.943002217227
linear_lstsq,temporal_test,speed_bin,sog_2_8,4772,3431.8396251972895,5150.412110276166,2830.6238245306736,2155.766448975984
